First Name,Surname,Team,Pos,£Start,£End,Total Points,Points Per Game,Transfers In,Transfers Out,Season Value,Minutes,Goals,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,BPS,Influence,Creativity,Threat,ICT Index,Influence Rank,Creativity Rank,Threat Rank,ICT Index Rank
Ben,Gibson,BUR,DEF,4,3.9,0,0,164323,238327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,490,457,512
Ross,Barkley,CHE,MID,6,5.6,61,2.9,163615,522348,10.9,1095,1,5,5,14,0,0,0,0,0,0,5,208,266,344,373,98,267,118,103,158
Declan,Rice,WHU,MID,5,4.7,105,2.8,161366,216955,22.3,3420,1,5,7,62,0,0,0,6,0,0,8,616,716,351,259,133,49,115,158,92
Florin,Andone,BHA,FWD,5,4.7,5,1.7,160457,197685,1.1,71,1,0,0,2,0,0,0,0,1,0,1,20,45,11,21,8,429,422,389,435
Fabian,SchÃ¤r,NEW,DEF,5,5,55,2.5,159865,216510,11,1669,2,1,4,38,0,0,0,5,0,0,2,297,441,58,179,68,160,332,215,242
Fabio Henrique,Tavares,LIV,MID,5.5,5.4,77,2.8,157198,174666,14.3,2073,2,3,6,26,0,0,0,6,0,0,8,403,432,322,85,84,170,130,298,191
Jan,Bednarek,SOT,DEF,4.5,4.4,84,2.5,156585,119330,19.1,3057,1,1,7,57,1,0,0,4,0,0,5,539,730,46,95,88,46,351,290,186
Ryan,Fraser,BOU,MID,7.5,6.8,73,2.6,156067,1151657,10.7,2061,1,5,4,34,0,0,0,2,0,0,2,305,356,627,440,142,206,30,84,78
Gylfi,Sigurdsson,EVE,MID,8,7.3,95,2.7,155232,839021,13,2555,2,4,6,45,0,0,0,3,0,0,7,397,455,765,484,171,152,22,77,54
Hamza,Choudhury,LEI,MID,4.5,4.2,35,1.8,152394,154335,8.3,883,1,1,3,12,0,0,0,2,1,0,0,153,178,70,83,33,327,312,300,350
Francisco,Femenía Far,WAT,DEF,4.5,4.2,54,1.9,152253,143716,12.9,2236,0,1,5,46,0,0,0,5,0,0,0,366,363,321,58,74,202,132,336,216
Kieran,Tierney,ARS,DEF,5.5,5.3,42,2.8,152178,129342,7.9,986,1,2,2,16,0,0,0,2,0,0,4,213,202,121,73,40,312,258,317,333
Leandro,Trossard,BHA,MID,6,5.8,104,3.4,150143,165710,17.9,2004,5,5,4,34,0,0,0,0,0,0,9,352,411,585,540,153,182,38,67,64
Ryan,Fredericks,WHU,DEF,4.5,4.4,74,2.7,149353,149738,16.8,2235,0,3,7,39,0,0,0,7,0,0,7,423,491,334,76,91,139,125,314,174
Nathan,Redmond,SOT,MID,6.5,6.2,107,3.3,145138,220893,17.3,2763,4,4,7,51,0,0,0,2,0,0,8,412,517,539,752,181,126,47,42,46
Christian,Eriksen,SPU,MID,9,8.6,48,2.4,143255,455757,5.6,1090,2,2,1,18,0,0,0,5,0,0,6,205,262,349,225,83,271,117,179,195
Pedro,Rodríguez Ledesma,CHE,MID,7,6.8,32,2.9,141555,283380,4.7,659,1,2,2,12,0,0,0,1,0,0,1,127,161,227,349,74,340,183,111,219
Miguel,Almirón,NEW,MID,6,5.8,109,3,141225,146397,18.8,3020,4,2,12,48,0,0,0,5,0,0,5,356,482,450,750,168,142,71,44,55
Ilkay,Gündogan,MCI,MID,5.5,5.1,65,2.1,141212,258927,12.7,2012,2,1,7,28,0,0,1,7,0,0,4,382,408,592,374,138,183,36,102,84
Calum,Chambers,ARS,DEF,4.5,4.3,42,3,140667,173873,9.8,1102,1,1,3,15,0,0,0,5,0,0,5,197,272,114,203,59,261,262,199,274
Ashley,Westwood,BUR,MID,5.5,5.5,118,3.4,140007,136532,21.5,3150,2,7,15,39,0,0,0,9,0,0,11,567,597,814,135,155,80,16,245,62
Stuart,Armstrong,SOT,MID,5.5,5.2,98,3.3,139604,77343,18.8,1706,5,4,7,25,0,0,0,4,0,0,10,301,418,275,431,112,178,153,86,124
Alex,Iwobi,EVE,MID,6,5.6,52,2.1,137751,244735,9.3,1591,1,0,4,30,0,0,0,0,0,0,2,227,246,384,329,96,278,105,122,164
Tariq,Lamptey,BHA,DEF,4,4.1,26,2.9,137512,26591,6.3,619,0,1,3,8,0,0,0,2,0,0,0,136,92,82,27,20,387,294,376,394
Jan,Vertonghen,SPU,DEF,5.5,5.2,62,2.7,137334,275712,11.9,1644,1,1,4,24,0,0,0,2,0,0,5,346,398,56,63,52,186,336,331,296
Alex,Oxlade-Chamberlain,LIV,MID,6.5,6.1,76,2.5,137110,142016,12.5,1475,4,1,8,12,1,0,0,1,0,0,2,268,300,298,406,100,242,141,96,152
João Pedro Cavaco,Cancelo,MCI,DEF,5.5,5.1,45,2.6,135300,189861,8.8,1205,0,0,5,11,0,0,0,4,0,0,3,299,265,288,141,69,269,148,242,235
Mateo,Kovacic,CHE,MID,5.5,5.3,68,2.2,134641,168094,12.8,2065,1,3,4,37,0,0,0,8,0,0,6,461,497,459,186,114,136,68,209,121
