First Name,Surname,Team,Pos,£Start,£End,Total Points,Points Per Game,Transfers In,Transfers Out,Season Value,Minutes,Goals,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,BPS,Influence,Creativity,Threat,ICT Index,Influence Rank,Creativity Rank,Threat Rank,ICT Index Rank
Christian,Benteke,CRY,FWD,6,5.7,42,1.8,45012,89535,7.4,1252,2,1,5,18,0,0,0,4,1,0,1,133,232,248,632,111,292,166,55,126
Andre,Gray,WAT,FWD,6,5.5,39,1.7,44672,78847,7.1,741,2,1,0,17,0,0,0,1,0,0,2,117,106,130,287,51,379,252,139,299
James,Milner,LIV,MID,5.5,5.3,49,2.2,44519,80276,9.2,924,2,2,4,9,0,0,0,4,0,0,3,198,237,177,100,51,287,219,284,298
Steve,Cook,BOU,DEF,5,5,52,1.8,44223,51015,10.4,2427,1,0,3,48,0,0,0,6,1,0,5,362,557,52,159,77,96,347,230,207
Neco,Williams,LIV,DEF,4,4,14,2.3,42749,17123,3.5,228,0,0,1,2,0,0,0,1,0,0,3,53,49,53,98,20,420,341,285,396
Che,Adams,SOT,FWD,6,5.3,78,2.6,42613,98754,14.7,1095,4,4,4,17,0,0,0,0,0,0,8,242,226,185,524,92,295,212,71,170
Keinan,Davis,AVL,MID,4.5,4.2,25,1.4,42392,47567,6,534,0,1,1,7,0,0,0,0,0,0,0,43,28,72,212,30,444,310,187,359
Dominic,Solanke,BOU,FWD,5.5,5.1,69,2.2,42272,57460,13.5,1637,3,2,1,39,0,0,0,1,0,0,3,177,223,203,569,99,301,197,64,156
Pablo,Fornals,WHU,MID,6.5,6,93,2.6,42217,82515,15.5,2167,2,6,6,35,0,0,0,3,0,0,4,346,350,360,381,109,213,113,100,128
Jamal,Lewis,NOR,DEF,4.5,4.4,48,1.7,42120,46015,10.9,2301,1,0,3,56,0,0,0,4,0,0,3,384,439,262,130,83,161,161,249,194
Frederick,Woodman,NEW,GKP,4,3.9,0,0,42084,55488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,492,460,514
Tomas,Soucek,WHU,MID,5,4.8,41,3.2,41807,10078,8.5,1039,3,0,1,18,1,0,0,0,0,0,3,155,254,73,293,62,274,307,136,262
Cédric,Soares,ARS,DEF,5,4.8,61,2.9,41000,41620,12.7,1553,1,1,4,20,0,0,0,1,0,0,3,286,349,219,118,69,214,186,265,237
Frederico,Rodrigues de Paula Santos,MUN,MID,5.5,5.1,50,1.7,40736,40860,9.8,2157,0,0,6,26,0,0,0,8,0,0,0,358,431,543,260,124,172,46,157,105
Wes,Morgan,LEI,DEF,4.5,4.1,19,1.7,40499,96471,4.6,430,0,0,1,6,0,0,0,0,0,0,2,87,86,2,58,15,392,453,335,409
Fabián,Balbuena,WHU,DEF,4.5,4.3,40,2.4,40446,53019,9.3,1176,1,0,3,24,0,0,0,2,0,0,3,210,268,19,149,44,266,405,237,326
Pedro,Lomba Neto,WOL,MID,5,4.9,57,2,40430,33972,11.6,920,3,3,1,12,0,0,0,3,0,0,0,194,228,232,260,72,293,180,156,223
Giovani,Lo Celso,SPU,MID,7.5,7.3,54,1.9,39400,63222,7.4,1482,0,3,6,18,0,0,0,6,0,0,3,250,303,459,176,94,239,67,218,166
Morgan,Schneiderlin,EVE,MID,4.5,4.4,18,1.2,39095,89283,4.1,998,0,0,1,20,0,0,0,4,1,0,0,132,143,79,32,26,352,299,371,373
Solomon,March,BHA,MID,5,4.6,38,2,38554,61586,8.3,1139,0,1,4,15,0,0,0,2,0,0,3,129,189,240,274,70,320,174,147,231
Craig,Dawson,WAT,DEF,5,4.8,61,2.1,38534,37004,12.7,2359,2,0,4,49,0,0,0,6,0,0,2,353,551,68,403,102,103,317,97,147
Roberto,Pereyra,WAT,MID,6,5.6,60,2.1,38369,252494,10.7,1641,3,0,5,27,0,0,0,4,0,0,0,194,238,293,350,88,286,143,109,183
Jarrod,Bowen,WHU,MID,6.5,6.4,44,3.4,37556,23103,6.9,916,1,4,1,13,0,0,0,0,0,0,3,173,221,235,342,80,302,178,118,201
Javier,Manquillo,NEW,DEF,4.5,4.3,65,3.1,37297,34910,15.1,1597,0,1,8,21,0,0,0,5,0,0,4,288,232,101,40,37,290,278,361,338
Daniel,Amartey,LEI,MID,4.5,4.2,0,0,37069,45941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,552,526,570
Beram,Kayal,BHA,MID,4.5,4.2,0,0,36774,35201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,541,513,559
Cheikhou,Kouyaté,CRY,MID,5,4.8,85,2.4,35726,36164,17.7,2524,1,2,10,36,0,0,0,4,0,0,4,288,395,162,279,84,188,229,144,192
Sam,Woods,CRY,DEF,4,3.9,0,0,35233,14548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,499,468,521
Darren,Randolph,WHU,GKP,4.5,3.9,3,1.5,35113,20201,0.8,180,0,0,0,5,0,0,0,0,0,6,0,27,50,0,0,5,419,487,454,452
Adrian,Mariappa,WAT,DEF,4.5,4.1,26,1.3,34723,37263,6.3,1509,0,0,3,33,1,0,0,4,1,0,1,185,217,75,32,32,306,302,370,354
Callum,Slattery,SOT,MID,4.5,4.4,0,0,32670,34440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,578,561,591
Jeremy,Ngakia,WHU,DEF,4,4,8,1.6,32577,24103,2,440,0,0,0,8,0,0,0,0,0,0,0,48,78,11,9,10,400,423,417,424
Sander,Berge,SHU,MID,5,4.7,40,2.9,32425,17608,8.5,943,1,1,4,11,0,0,0,0,0,0,3,147,152,66,82,30,347,320,301,357
Christian,Fuchs,LEI,DEF,4.5,4.2,26,2.4,32154,43133,6.2,770,0,0,2,10,0,0,0,0,0,0,2,139,144,54,20,22,350,340,391,387
Joseph,Willock,ARS,MID,5,4.7,41,1.4,31416,36008,8.7,838,1,1,1,16,0,0,0,2,0,0,0,150,177,166,212,55,329,224,188,282
Moussa,Djenepo,SOT,MID,5.5,5.2,40,2.2,30838,34647,7.7,920,2,2,2,14,0,0,0,4,1,0,3,151,224,153,252,63,299,234,161,256
Nemanja,Matic,MUN,MID,5,4.8,55,2.6,29913,51876,11.5,1578,0,2,10,13,0,0,0,2,0,0,2,287,357,250,53,66,205,165,346,247
James,Garner,MUN,MID,4.5,4.3,1,1,29197,29967,0.2,8,0,0,0,1,0,0,0,0,0,0,0,3,2,3,0,1,494,449,551,498
Rúben Gonçalo,Silva Nascimento Vinagre,WOL,DEF,4.5,4.1,32,2,28734,34342,7.8,644,0,0,3,6,0,0,0,1,0,0,1,134,130,96,56,28,358,283,340,364
Rob,Holding,ARS,DEF,4.5,4.4,16,2,28501,22667,3.6,580,0,0,1,9,0,0,0,1,0,0,2,96,134,5,19,16,355,441,396,407
Joe,Hart,BUR,GKP,4.5,4.2,0,0,28406,105819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,537,509,556
Nacho,Monreal,ARS,DEF,5,5,10,3.3,28283,89310,2,270,0,0,1,4,0,0,0,0,0,0,1,54,47,41,12,10,424,358,412,423
Jarrad,Branthwaite,EVE,DEF,4,4,11,2.8,28273,1844,2.8,299,0,0,1,6,0,0,0,0,0,0,2,69,66,2,0,7,409,451,502,441
Matej,Vydra,BUR,FWD,5.5,5.1,39,2.1,28266,27058,7.6,807,2,1,5,7,0,0,0,0,0,0,3,112,144,113,273,53,351,263,149,291
Philip,Billing,BOU,MID,5,4.9,68,2,28012,30373,13.9,2526,1,1,5,41,0,0,0,8,0,0,5,347,545,240,342,113,107,173,117,123
Cenk,Tosun,EVE,FWD,6,5.7,24,2.4,27668,36040,4.2,462,2,0,2,6,0,0,0,0,0,0,1,86,89,63,229,38,391,325,176,337
Wayne,Hennessey,CRY,GKP,4.5,4.2,7,2.3,27189,61030,1.7,270,0,0,0,8,0,0,0,0,0,16,0,58,110,0,0,11,372,540,512,421
Neil,Taylor,AVL,DEF,4.5,4.2,22,1.6,27109,32888,5.2,1088,0,0,2,25,0,0,0,2,0,0,0,163,158,80,29,27,341,297,374,368
Moritz,Leitner,NOR,MID,4.5,4.3,16,1.8,26649,36025,3.7,683,0,0,1,16,0,0,0,1,0,0,0,102,107,128,53,29,378,255,345,361
Juan,Mata,MUN,MID,6.5,6.1,38,2,26580,45423,6.2,747,0,2,4,8,0,0,0,1,0,0,2,139,109,294,130,53,374,142,251,289
Patrick,Cutrone,WOL,FWD,6,5.4,23,1.9,26463,95214,4.3,292,2,0,1,6,0,0,0,0,0,0,0,69,85,36,155,28,393,367,235,366
Danny,Welbeck,WAT,FWD,6,5.8,39,2.2,26243,29370,6.7,813,2,1,1,15,0,0,0,0,0,0,3,93,128,52,350,53,359,348,110,294
Theo,Walcott,EVE,MID,6.5,6.2,63,2.5,26179,63008,10.2,1281,2,4,4,19,0,0,0,1,0,0,1,186,225,289,521,104,298,146,72,143
Daniel,Drinkwater,AVL,MID,4.5,4.4,6,1.2,26169,142120,1.4,317,0,0,0,11,0,0,0,1,0,0,0,32,19,21,8,5,452,402,422,453
Tudor,Baluta,BHA,DEF,4,4,0,0,26158,22868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,517,486,537
Shkodran,Mustafi,ARS,DEF,5.5,5.1,43,2.9,25007,47630,8.4,1205,0,2,4,17,0,0,0,2,0,0,2,242,277,46,155,48,257,352,234,313
Jack,Colback,NEW,MID,4.5,4.3,0,0,24862,25520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,560,537,577
Phil,Jagielka,SHU,DEF,4.5,4.1,6,1,24851,52362,1.5,240,0,0,0,6,0,0,0,0,0,0,0,50,75,5,2,8,402,440,443,433
Paul,Dummett,NEW,DEF,4.5,4.3,44,2.8,24831,33798,10.2,1227,0,0,5,20,1,0,0,2,0,0,4,230,265,63,50,38,268,326,347,335
Michael,Obafemi,SOT,FWD,5,4.9,45,2.1,24735,30599,9.2,655,3,2,3,12,0,0,0,1,0,0,2,165,171,131,235,53,334,250,172,288
Ben,Davies,SPU,DEF,5.5,5.3,41,2.3,24706,21239,7.7,1430,0,0,4,19,0,0,0,6,0,0,2,223,280,172,94,54,256,220,291,285
Scott,Dann,CRY,DEF,4.5,4.3,51,3.2,24314,29185,11.9,1264,0,1,5,14,0,0,0,0,0,0,3,253,250,58,177,49,275,331,216,309
Christian,Atsu,NEW,MID,5.5,5.3,37,1.9,24108,29290,7,738,0,3,3,15,0,0,0,2,0,0,0,104,121,187,55,36,361,209,343,342
Dimitri,Foulquier,WAT,DEF,4,3.9,1,0.3,23858,20514,0.3,57,0,0,0,6,0,0,0,0,0,0,0,12,8,1,0,1,471,469,458,491
José,Holebas,WAT,DEF,5,4.6,21,1.5,23552,242400,4.6,1022,0,1,2,28,0,0,0,5,0,0,0,153,171,208,62,44,333,193,333,322
Claudio,Bravo,MCI,GKP,5,4.7,11,2.8,23508,37332,2.3,346,0,0,1,7,0,0,0,0,0,8,0,69,58,0,0,6,417,630,621,446
Isaac,Success Ajayi,WAT,FWD,5,4.7,4,0.8,23330,60158,0.9,65,0,0,0,3,0,0,0,1,0,0,0,8,6,14,17,4,479,415,403,459
Henrikh,Mkhitaryan,ARS,MID,7,6.7,4,1.3,23270,117383,0.6,110,0,0,1,0,0,0,0,1,0,0,0,3,5,34,46,9,480,371,355,431
Nathaniel,Chalobah,WAT,MID,4.5,4.4,36,1.6,22780,28956,8.2,919,0,1,2,14,0,0,0,1,0,0,2,142,162,130,55,35,338,251,342,348
Takumi,Minamino,LIV,MID,6.5,5.8,11,1.1,22621,20092,1.9,241,0,0,0,2,0,0,0,0,0,0,0,20,17,30,85,13,456,379,299,415
Sean,Longstaff,NEW,MID,5,5,44,1.9,22166,55549,8.8,1370,1,2,2,26,0,0,0,2,1,0,0,181,236,217,155,61,288,187,233,267
Adam,Idah,NOR,FWD,4.5,4.4,13,1.1,21977,17712,3,219,0,0,0,9,0,0,0,0,0,0,0,25,14,18,47,7,461,407,352,439
Tom,Cleverley,WAT,MID,5,4.8,33,1.8,21937,26972,6.9,964,1,0,1,26,0,0,0,2,0,0,2,153,175,219,221,62,331,185,183,265
Ryan,Giles,WOL,DEF,4,3.9,0,0,21912,11421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,500,469,522
Pablo,Zabaleta,WHU,DEF,4.5,4.1,10,1,21897,50033,2.4,588,0,0,0,14,0,0,0,2,0,0,0,90,110,51,12,17,371,349,409,400
Steven,Alzate,BHA,MID,4.5,4.4,33,1.7,21609,17026,7.5,1181,0,0,3,18,0,0,0,1,0,0,0,183,202,214,205,62,310,190,196,260
Conor,Hourihane,AVL,MID,6,5.7,83,3.1,21523,31679,14.6,1526,3,5,6,29,0,0,0,4,0,0,9,328,385,552,317,125,193,44,129,103
Ashley,Young,MUN,DEF,5.5,5.4,24,2,21451,41612,4.4,953,0,0,2,10,0,0,0,5,0,0,0,158,156,317,18,49,343,133,400,308
Ondrej,Duda,NOR,MID,5,4.4,24,2.4,21194,17452,5.5,723,0,1,3,9,0,0,0,0,0,0,0,131,116,262,105,48,368,162,273,311
Harry,Winks,SPU,MID,5.5,5.2,52,1.7,21085,34189,10,2223,0,0,6,31,0,0,0,9,0,0,0,369,362,323,74,76,203,128,315,211
Jeffrey,Schlupp,CRY,MID,5.5,5.4,51,3,20717,27015,9.4,1030,3,1,4,16,0,0,0,2,0,0,4,148,240,102,266,61,283,275,153,268
Kevin,Long,BUR,DEF,4.5,4.3,21,2.6,20369,11651,4.9,562,0,0,2,5,0,0,0,0,0,0,0,93,105,1,24,13,380,463,382,413
Ryan,Bennett,LEI,DEF,5,4.8,32,2,19653,46207,6.7,932,0,0,3,17,0,0,0,2,0,0,2,176,161,41,16,22,339,357,405,389
Leroy,Sané,MCI,MID,9.5,9.1,1,1,19588,52391,0.1,11,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,1,666,468,415,494
José Ãngel,Esmorís Tasende,MCI,DEF,5,4.6,11,1.8,18965,30225,2.4,422,0,1,0,7,0,0,0,1,0,0,1,94,93,164,58,32,386,226,338,355
André Filipe,Tavares Gomes,EVE,MID,5.5,5.2,39,2.1,18746,73633,7.5,1457,0,1,5,20,0,0,0,6,0,0,3,184,157,179,33,36,342,218,368,341
Kelland,Watts,NEW,DEF,4,3.9,1,1,18193,7654,0.3,16,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,495,503,472,503
Demarai,Gray,LEI,MID,5.5,5,44,2.1,18147,41825,8.8,605,2,4,1,6,0,0,1,1,0,0,0,151,205,242,263,71,309,169,154,229
Brandon,Austin,SPU,GKP,4,4,0,0,18000,11275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,518,487,538
Ruben,Loftus-Cheek,CHE,MID,6.5,5.9,12,1.7,17870,19346,2,203,0,1,1,3,0,0,0,0,0,0,0,37,31,30,33,9,440,377,369,427
José Ignacio,Peleteiro Romallo,AVL,MID,6,5.7,17,1.7,17837,30851,3,329,0,1,2,5,0,0,0,0,0,0,0,48,47,57,73,17,425,335,318,401
Ezri,Konsa Ngoyo,AVL,DEF,4.5,4.3,65,2.6,17514,10777,15.1,2038,1,2,5,39,0,0,0,3,0,0,4,335,401,152,173,73,185,238,221,221
Leighton,Baines,EVE,DEF,5,4.9,14,1.8,17286,18735,2.9,400,0,1,0,8,0,0,0,0,0,0,0,89,82,124,5,21,396,256,437,390
Maya,Yoshida,SOT,DEF,4.5,4.1,10,1.2,16935,32010,2.4,558,0,0,1,18,0,0,0,1,0,0,1,85,97,4,77,18,385,444,310,399
Eric,Dier,SPU,MID,5,4.8,36,1.9,16812,23391,7.5,1340,0,2,3,23,0,0,0,5,0,0,0,172,297,100,56,46,243,280,341,317
Ben,Godfrey,NOR,DEF,4.5,4.4,38,1.3,16794,25836,8.6,2644,0,0,3,62,1,0,0,3,1,0,0,447,603,57,119,78,75,334,263,205
Andy,Carroll,NEW,FWD,5.5,5.4,34,1.8,16553,23825,6.3,617,0,4,2,10,0,0,0,1,0,0,0,87,137,162,211,51,353,230,189,300
Sofiane,Boufal,SOT,MID,5.5,5.5,34,1.7,16381,18958,6.2,753,0,3,1,17,0,0,0,2,0,0,0,99,149,204,267,62,349,196,152,263
Tom,Davies,EVE,MID,5.5,5.3,59,2,16271,19526,11.1,2020,1,1,5,34,0,0,0,8,0,0,3,233,270,123,262,66,262,257,155,249
DeAndre,Yedlin,NEW,DEF,4.5,4.4,26,1.6,16124,15425,5.9,934,1,0,1,18,0,0,0,3,0,0,0,122,166,118,43,33,336,259,358,351
Harry,Lewis,SOT,GKP,4,4,0,0,15829,9759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,515,484,535
Jeff,Hendrick,BUR,MID,5.5,5.4,67,2.8,15773,18285,12.4,1930,2,2,10,30,0,0,0,8,0,0,4,197,270,214,282,77,263,191,142,210
Matty,James,LEI,MID,4.5,4.3,1,1,15765,28100,0.2,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,502,481,539,506
Jefferson,Lerma,BOU,MID,5,4.8,65,2,15689,23987,13.5,2702,1,2,4,49,0,0,0,11,1,0,2,376,439,189,169,79,162,205,223,202
Joseph,Anang,WHU,GKP,4,4,0,0,15384,8334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,528,497,548
Reiss,Nelson,ARS,MID,5.5,5.3,30,1.8,15306,20711,5.7,622,1,1,2,7,0,0,0,1,0,0,0,105,110,148,185,44,373,241,210,320
Jack,Cork,BUR,MID,5,4.9,70,2.3,14989,25944,14.3,2614,0,0,12,41,0,0,0,1,0,0,0,301,313,198,311,82,233,199,130,198
Dan,Gosling,BOU,MID,5,4.8,54,2.2,14793,13111,11.2,1254,3,1,2,23,0,0,0,3,0,0,1,186,316,152,259,73,230,237,159,222
Anthony,Gordon,EVE,FWD,4.5,4.5,17,1.5,14448,8061,3.8,436,0,1,0,6,0,0,0,0,0,0,1,63,76,98,44,22,401,281,356,388
Leon,Clarke,SHU,FWD,4.5,4.4,2,1,14171,12095,0.5,33,0,0,0,2,0,0,0,0,0,0,0,3,4,2,6,1,485,461,431,492
Fabian,Delph,EVE,DEF,5.5,5.3,24,1.5,13853,32071,4.5,1187,0,0,2,24,0,0,0,3,1,0,2,202,183,147,24,35,324,243,385,343
Pablo,Marí,ARS,DEF,5,4.4,8,4,13720,12437,1.8,113,0,0,1,0,0,0,0,0,0,0,1,31,28,2,0,3,445,457,556,467
Kenny,McLean,NOR,MID,5,4.8,77,2.1,13552,19029,16,2965,1,1,5,63,0,0,0,5,0,0,0,424,506,424,274,120,130,90,148,111
Luke,Dreher,CRY,MID,4.5,4.3,0,0,13224,13070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,571,550,586
Alireza,Jahanbakhsh,BHA,MID,6,5.8,28,2.8,12848,15906,4.8,305,2,1,1,4,0,0,0,0,0,0,2,90,91,63,106,26,388,327,272,371
Asmir,Begovic,BOU,GKP,4.5,4.2,0,0,12767,158719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,543,515,561
Oskar,Buur,WOL,DEF,4,4,0,0,12504,7078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,514,483,534
Willy,Caballero,CHE,GKP,5,4.8,13,2.6,12472,19528,2.7,450,0,0,1,7,0,0,0,0,0,10,0,74,90,0,0,9,390,634,628,429
Muhamed,Bešić,SHU,MID,4.5,4.3,9,1,12427,20742,2.1,243,0,0,0,2,0,0,0,2,0,0,0,40,34,22,29,9,436,401,375,432
Eric,Bailly,MUN,DEF,5,4.7,9,2.2,12133,12117,1.9,148,0,0,1,1,0,0,0,0,0,0,0,40,32,1,0,3,438,470,627,463
Marc,Albrighton,LEI,MID,5.5,5.1,38,1.9,12028,24640,7.5,857,0,3,3,11,0,0,0,2,0,0,1,185,191,288,102,58,319,147,278,277
Ibrahim,Amadou,NOR,MID,4.5,4.5,18,1.6,11824,12196,4,756,0,0,1,20,0,0,0,1,0,0,0,122,177,18,31,23,328,406,372,382
Junior,Stanislas,BOU,MID,6,5.8,42,2.8,11762,5286,7.2,706,3,1,1,17,0,0,0,1,0,0,2,155,179,185,241,61,326,211,168,269
Daniel,N'Lundulu,SOT,FWD,4.5,4.4,0,0,11564,10124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,581,564,594
Jack,Wilshere,WHU,MID,5,4.6,8,1,11379,36863,1.7,209,0,0,0,5,0,0,0,0,0,0,0,14,6,7,4,2,478,432,439,485
Grady,Diangana,WHU,MID,4.5,4.3,0,0,10938,13868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,566,544,581
Dennis,Praet,LEI,MID,5.5,5.2,54,2,10669,13601,10.4,1122,1,3,2,17,0,0,0,2,0,0,3,203,196,162,210,57,317,231,193,278
Domingos,Quina,WAT,MID,4.5,4.3,4,1,10639,13215,0.9,18,0,0,0,2,0,0,0,0,0,0,0,10,7,1,7,2,472,472,425,484
Xherdan,Shaqiri,LIV,MID,6.5,6.3,15,2.1,9972,31308,2.4,181,1,0,1,2,0,0,0,0,0,0,0,54,48,52,37,14,423,346,366,411
Robert,Elliot,NEW,GKP,4,4,0,0,9783,6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,506,475,527
Yan,Valery,SOT,DEF,5,4.6,18,1.6,9760,28863,3.9,778,0,1,1,20,0,0,0,1,0,0,0,93,112,44,77,23,370,353,312,381
Jack,Stacey,BOU,DEF,4.5,4.3,39,2.1,9636,15077,9.1,1547,0,2,1,27,0,0,0,2,0,0,4,241,309,147,86,54,236,242,297,286
Artur,Boruc,BOU,GKP,4.5,4.2,0,0,9525,22938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,538,510,557
Florian,Lejeune,NEW,DEF,4.5,4.3,24,4,9183,7955,5.6,440,2,0,1,10,0,0,0,0,0,0,1,88,132,13,81,23,356,419,303,383
David,Brooks,BOU,MID,6.5,6.1,21,2.3,9101,24266,3.4,505,1,0,1,12,0,0,0,1,0,0,1,73,82,101,71,25,395,279,321,374
Addji Keaninkin Marc-Israel,Guehi,CHE,DEF,4,3.9,0,0,8862,8383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,496,464,518
Archie,Mair,NOR,GKP,4,4,0,0,8704,5665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,523,492,543
Jordon,Ibe,BOU,MID,5,4.6,2,1,8702,25627,0.4,48,0,0,0,1,0,0,0,0,0,0,0,10,7,5,0,1,474,438,617,488
Anthony,Driscoll-Glennon,BUR,DEF,4,3.9,0,0,8702,4305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,494,462,516
Scott,Carson,MCI,GKP,4,4,0,0,8349,5618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,505,474,526
Bernardo,Fernandes da Silva Junior,BHA,DEF,4.5,4.3,21,1.5,8311,13987,4.9,675,0,0,1,17,0,0,0,1,0,0,3,121,154,73,92,32,344,309,293,353
Daniel,Castelo Podence,WOL,MID,5.5,4.9,25,2.8,8281,3461,5.1,285,1,1,3,0,0,0,0,0,0,0,2,74,62,73,148,28,411,306,238,362
John,Ruddy,WOL,GKP,4.5,4.2,0,0,8234,23258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,539,511,558
Axel,Tuanzebe,MUN,DEF,4.5,4.4,7,1.4,8149,13781,1.6,187,0,0,0,3,0,0,0,0,0,0,0,30,18,6,0,2,455,437,560,476
Kortney,Hause,AVL,DEF,4.5,4.4,34,1.9,8119,9070,7.7,1544,1,0,2,34,0,0,0,3,0,0,0,204,353,33,248,63,209,372,163,255
Bernard,Ashley-Seal,WOL,FWD,4.5,4.5,0,0,7889,6770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,595,582,608
Akin,Famewo,NOR,DEF,4,3.9,1,1,7785,6458,0.3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,521,501,470,523
Mamadou,Sakho,CRY,DEF,5,5,11,0.8,7751,10883,2.2,929,0,0,0,21,0,0,0,1,1,0,0,148,179,16,6,20,325,411,435,395
Lewis,Cook,BOU,MID,5,5,40,1.5,7609,6629,8,1340,0,1,2,30,0,0,0,5,0,0,0,183,188,183,68,44,321,213,323,324
Heurelho da Silva,Gomes,WAT,GKP,4.5,4.3,0,0,7607,11883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,558,533,575
Lloyd,Kelly,BOU,DEF,4.5,4.4,11,1.4,7536,10639,2.5,638,0,0,1,15,0,0,0,2,0,0,0,85,73,28,20,12,404,385,392,416
Onel,Hernández,NOR,MID,5.5,5.3,52,2,7450,18151,9.8,1374,1,2,1,32,0,0,0,0,0,0,0,173,227,236,445,91,294,176,83,175
Yoshinori,Muto,NEW,FWD,5.5,5.1,9,1.1,7340,14183,1.8,207,0,0,0,7,0,0,0,0,0,0,0,25,13,15,12,4,464,413,413,460
Sam,Byram,NOR,DEF,4.5,4.3,32,1.9,6933,12201,7.4,1292,0,0,3,23,0,0,0,4,0,0,2,201,273,109,218,60,260,265,184,270
Kieron,Freeman,SHU,DEF,4.5,4.2,2,1,6932,12556,0.5,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,563,477,520,565
Jürgen,Locadia,BHA,FWD,5.5,5.2,3,1.5,6923,23996,0.6,85,0,0,1,1,0,0,0,0,0,0,0,5,3,1,30,3,491,464,373,464
Gedson,Carvalho Fernandes,SPU,MID,5,4.6,7,1,6845,5346,1.5,62,0,0,0,1,0,0,0,0,0,0,0,20,17,34,20,7,457,370,393,438
Josip,Drmic,NOR,FWD,5.5,5.3,26,1.2,6631,15683,4.9,636,1,0,0,13,0,0,0,0,1,0,0,67,60,67,231,35,415,318,175,345
Adam,Lallana,LIV,MID,6,5.7,27,1.8,6597,11322,4.7,371,1,1,1,5,0,0,0,1,0,0,1,97,107,69,74,25,376,315,316,377
Marco,Stiepermann,NOR,MID,5.5,5,32,1.3,6400,12121,6.4,1173,0,0,1,32,0,0,0,6,0,0,0,96,120,188,277,59,363,206,145,276
Aaron,Lennon,BUR,MID,5,4.6,15,0.9,6347,12276,3.3,485,0,0,0,15,0,0,0,4,0,0,0,51,45,38,12,10,428,364,410,426
Emil,Krafth,NEW,DEF,4.5,4.3,37,2.2,6333,8244,8.6,1015,0,1,3,23,0,0,0,0,0,0,2,187,184,29,39,25,323,382,362,376
Simon,Moore,SHU,GKP,4.5,4.3,3,1.5,6294,8790,0.7,180,0,0,0,6,0,0,0,0,0,5,0,23,28,0,0,3,443,562,540,470
Angel,Gomes,MUN,MID,5,4.7,2,1,6235,11945,0.4,19,0,0,0,1,0,0,0,0,0,0,0,7,4,25,2,3,483,396,446,465
Tyrick,Mitchell,CRY,DEF,4,4,4,1,6101,3603,1,193,0,0,0,4,0,0,0,1,0,0,0,23,36,59,2,10,432,329,442,425
Emile,Smith Rowe,ARS,MID,4.5,4.3,4,2,5984,4456,0.9,96,0,0,1,0,0,0,0,0,0,0,0,13,10,6,0,2,467,435,546,482
Ryan,Sessegnon,SPU,MID,5.5,5.4,9,1.5,5873,21275,1.7,341,0,0,0,5,0,0,0,0,0,0,0,41,45,40,34,12,427,361,367,417
Mark,Travers,BOU,GKP,4.5,4.2,1,1,5864,15200,0.2,90,0,0,0,3,0,0,0,0,0,2,0,9,15,0,0,2,460,556,531,483
